"Object designation","Close approach date in UTC","Miss distance in km","Miss distance in au","Miss distance in LD","Diameter in m","H in mag","Maximum
brightness in mag","Relative
velocity in km/s","CAI Index"
"2024RW25","2024-09-27 01:17","6169225","0.041239","16.049","21 - 50*","25.5","21.4","9.8","3.078"
"2024SW3","2024-09-26 22:08","1578668","0.010553","4.107","11 - 25*","26.9","17.8","9.6","2.780"
"2017SG16","2024-09-26 16:49","5720644","0.038240","14.882","13 - 29*","26.6","20.6","7.0","3.490"
"2024TK","2024-09-26 16:40","3040319","0.020323","7.909","60 - 140*","23.1","17.9","15.6","1.182"
"2024TF1","2024-09-26 15:00","4702916","0.031437","12.234","17 - 40*","26.0","19.2","6.4","2.915"
"2024TE1","2024-09-26 12:01","3496279","0.023371","9.095","10 - 23*","27.1","20.0","8.3","3.471"
"2024SV3","2024-09-26 10:24","668232","0.004467","1.738","14 - 30*","26.5","17.8","11.8","1.827"
"2024SS1","2024-09-26 06:38","268798","0.001797","0.699","6 - 13*","28.3","17.5","12.6","2.257"
"2024SG4","2024-09-26 06:01","305121","0.002040","0.794","9 - 21*","27.3","17.5","10.0","1.621"
"2024SN","2024-09-26 05:52","3910009","0.026137","10.172","9 - 21*","27.3","20.2","6.8","3.612"
"2024SF","2024-09-25 23:38","4622948","0.030902","12.026","40 - 100*","23.9","17.0","23.1","2.008"
"2024SR6","2024-09-25 17:57","1504011","0.010054","3.913","10 - 22*","27.2","19.9","11.5","2.987"
"2024SZ2","2024-09-25 17:42","4828337","0.032275","12.561","19 - 40*","25.8","19.0","14.2","3.166"
"2024RK7","2024-09-25 11:60","6813435","0.045545","17.725","25 - 60*","25.2","20.0","6.3","2.671"
"2024SG","2024-09-25 03:25","1097736","0.007338","2.856","10 - 22*","27.2","18.5","8.9","2.571"
"2024SE3","2024-09-25 01:56","444334","0.002970","1.156","15 - 30*","26.3","15.2","10.7","1.301"
"2024SY","2024-09-24 19:39","2398543","0.016033","6.240","8 - 18*","27.7","19.8","6.3","3.368"
"2024SP","2024-09-24 18:33","1946243","0.013010","5.063","5 - 11*","28.7","20.0","6.4","3.827"
"2024RO11","2024-09-24 17:29","7361272","0.049207","19.150","30 - 70*","24.7","21.5","19.1","2.896"
"2024SV1","2024-09-24 11:02","3819552","0.025532","9.936","19 - 40*","25.7","19.3","6.3","2.515"
"2024SN1","2024-09-24 06:28","920237","0.006151","2.394","9 - 21*","27.3","18.4","15.9","2.753"
"2020GE","2024-09-24 04:52","660340","0.004414","1.718","6 - 14*","28.1","20.5","2.2","1.808"
"2024SM3","2024-09-24 04:40","4630402","0.030952","12.046","21 - 50*","25.6","19.2","12.8","2.964"
"2024SH","2024-09-23 11:15","6232990","0.041665","16.215","30 - 70*","24.6","18.7","11.7","2.546"
"2024SZ5","2024-09-23 09:10","7441211","0.049741","19.358","23 - 50*","25.3","19.9","6.9","2.901"
"2024ST","2024-09-23 02:24","109792","0.000734","0.286","3 - 7*","29.6","16.8","11.7","2.106"
"2024SZ","2024-09-22 22:38","2761343","0.018458","7.184","40 - 80*","24.3","18.2","19.6","1.746"
"2024SC2","2024-09-22 21:08","4523140","0.030235","11.767","13 - 29*","26.6","20.8","7.3","3.330"
"2024SS2","2024-09-22 17:49","691689","0.004624","1.799","4 - 10*","28.9","19.8","8.3","3.180"
"2024SW","2024-09-22 16:56","340181","0.002274","0.885","8 - 17*","27.7","16.0","10.0","1.978"
"2024SO1","2024-09-22 15:43","583932","0.003903","1.519","5 - 11*","28.8","19.2","11.5","3.138"
"2024SH2","2024-09-22 12:56","1922671","0.012852","5.002","10 - 22*","27.2","19.4","10.5","3.152"
"2024SB3","2024-09-22 12:02","2688012","0.017968","6.993","21 - 50*","25.5","19.6","16.2","2.528"
"2024SP2","2024-09-22 11:53","1389896","0.009291","3.616","4 - 10*","28.9","20.9","3.9","3.279"
"2024SB5","2024-09-22 00:21","4704832","0.031450","12.239","20 - 40*","25.6","19.7","12.7","3.031"
"2024SL1","2024-09-21 19:35","1137926","0.007607","2.960","5 - 10*","28.8","19.6","8.2","3.596"
