"Object designation","Close approach date in UTC","Miss distance in km","Miss distance in au","Miss distance in LD","Diameter in m","H in mag","Maximum
brightness in mag","Relative
velocity in km/s","CAI Index"
"2014DB","2025-02-17 20:44","6845808","0.045761","17.809","50 - 110*","23.6","19.0","26.6","2.221"
"2014CE13","2025-02-18 20:48","2251196","0.015048","5.856","40 - 90*","24.1","18.2","17.7","1.451"
"2022DG2","2025-02-19 16:59","4571921","0.030561","11.894","5 - 12*","28.4","24.1","10.3","4.718"
"2016AX165","2025-02-20 02:33","5724465","0.038266","14.892","70 - 150*","23.0","18.4","9.2","1.490"
"2015BK509","2025-02-25 01:06","3600235","0.024066","9.366","90 - 200*","22.3","16.7","14.6","1.027"
"2023RW3","2025-02-25 06:52","2746535","0.018359","7.145","14 - 30*","26.4","20.7","5.1","2.554"
"535844 2015BY310","2025-03-05 10:57","3672622","0.024550","9.554","110 - 250*","21.8","16.4","7.9","0.620"
"2017EL4","2025-03-05 13:31","3112770","0.020808","8.098","22 - 50*","25.5","19.5","16.8","2.638"
"2008DH5","2025-03-05 15:01","2877345","0.019234","7.485","40 - 80*","24.4","17.8","16.6","1.804"
"2017EV","2025-03-09 17:07","2999383","0.020050","7.803","12 - 26*","26.8","22.2","7.8","3.144"
"2023EZ1","2025-03-10 01:27","4594974","0.030716","11.954","40 - 90*","24.1","19.5","29.3","2.154"
"2021EU3","2025-03-10 16:19","4100460","0.027410","10.667","11 - 24*","27.0","20.6","4.4","3.160"
"2003FK1","2025-03-16 20:10","2550038","0.017046","6.634","70 - 170*","22.8","16.1","14.4","0.875"
"2021FH1","2025-03-21 12:32","1487881","0.009946","3.871","24 - 50*","25.2","16.3","13.9","1.784"
"2014TN17","2025-03-26 11:33","5092677","0.034042","13.248","130 - 300*","21.5","17.1","21.5","1.178"
"2005ES95","2025-03-27 01:23","7052336","0.047142","18.346","19 - 40*","25.7","22.0","10.1","3.321"
"2009FX4","2025-03-29 20:58","5093028","0.034045","13.249","21 - 50*","25.5","22.3","7.6","2.753"
"2020VA4","2025-03-30 15:04","4444090","0.029707","11.561","9 - 20*","27.3","23.1","5.6","3.618"
"2019KN5","2025-04-01 07:43","5039599","0.033688","13.110","10 - 23*","27.1","21.9","6.7","3.690"
"2022FR3","2025-04-01 15:55","2562045","0.017126","6.665","80 - 170*","22.7","15.5","7.4","0.550"
"2020XT2","2025-04-04 11:28","5334316","0.035658","13.877","30 - 70*","24.6","20.1","6.2","2.056"
"2023GC2","2025-04-04 14:09","6612248","0.044200","17.202","10 - 22*","27.2","23.3","6.3","3.924"
"2020FH4","2025-04-04 23:13","4902106","0.032769","12.753","5 - 12*","28.4","23.4","3.0","3.948"
"2007SQ6","2025-04-05 14:52","4192120","0.028023","10.906","90 - 210*","22.2","18.4","6.6","0.746"
"2023HG","2025-04-10 09:25","809483","0.005411","2.106","11 - 24*","26.9","18.1","8.5","2.150"
"2023KU","2025-04-11 15:34","1057433","0.007069","2.751","90 - 210*","22.3","13.8","18.0","0.002"
"2023RX1","2025-04-13 10:45","6940759","0.046396","18.056","2.4 - 5*","30.2","33.0","1.4","4.481"
"2022UO","2025-04-14 00:25","5220442","0.034897","13.581","14 - 30*","26.5","29.2","16.0","3.717"
"2023UH","2025-04-15 00:07","3342851","0.022346","8.696","16 - 40*","26.1","19.1","10.9","2.946"
"2017RN16","2025-04-17 05:35","4499966","0.030080","11.706","4 - 9*","29.0","24.2","8.8","4.901"
"2014HS124","2025-04-22 11:26","4096735","0.027385","10.658","80 - 170*","22.7","17.3","8.9","1.068"
"2019FY2","2025-04-24 09:53","4755067","0.031786","12.370","9 - 20*","27.3","23.1","5.3","3.629"
"462959 2011DU","2025-04-25 15:43","4930626","0.032959","12.827","160 - 400*","21.1","16.6","9.5","0.771"
"2024BF","2025-05-01 22:17","3635399","0.024301","9.457","40 - 80*","24.3","19.7","4.6","1.280"
"2017GL4","2025-05-02 13:13","6727010","0.044967","17.500","17 - 40*","26.0","21.2","6.6","3.208"
"2012HE31","2025-05-02 14:17","3537715","0.023648","9.203","15 - 30*","26.3","22.0","9.9","3.072"
"2024JM2","2025-05-03 09:35","2732922","0.018268","7.110","50 - 110*","23.7","17.6","11.3","1.268"
"2006HU50","2025-05-03 18:28","1976351","0.013211","5.141","30 - 70*","24.7","17.7","6.5","1.260"
"2021JN1","2025-05-06 15:15","6583806","0.044010","17.128","30 - 70*","24.6","19.0","16.2","2.711"
"2014JN2","2025-05-07 11:23","4295722","0.028715","11.175","40 - 80*","24.3","19.7","22.3","2.182"
"612356 2002JX8","2025-05-09 11:01","4206668","0.028120","10.943","240 - 500*","20.2","16.0","5.1","0.008"
"2021KH","2025-05-10 06:19","6791948","0.045401","17.669","15 - 30*","26.3","22.9","7.3","3.493"
"2011HJ7","2025-05-12 23:34","2513730","0.016803","6.539","90 - 200*","22.3","15.8","15.8","0.747"
"2011YU74","2025-05-13 13:59","4363292","0.029167","11.351","70 - 150*","23.0","19.2","5.0","0.849"
"2021WH","2025-05-18 20:36","3943710","0.026362","10.259","25 - 60*","25.2","19.8","24.2","2.731"
"2011UY192","2025-05-19 23:52","7382435","0.049349","19.205","30 - 80*","24.4","21.3","14.0","2.631"
"2008ST","2025-05-20 00:49","5170704","0.034564","13.451","10 - 22*","27.1","23.0","2.5","3.017"
"2008FF5","2025-05-24 01:23","5519224","0.036894","14.358","60 - 140*","23.2","18.9","40.2","1.876"
"387746 2003MH4","2025-05-24 10:36","6676504","0.044630","17.369","370","20.0","20.0","8.3","0.666"
"2014KF22","2025-05-25 10:38","3458858","0.023121","8.998","13 - 30*","26.5","21.1","11.5","3.277"
"390725 2003HB","2025-05-25 14:27","7028343","0.046982","18.284","200","19.6","18.2","13.5","0.797"
"2022KP3","2025-05-31 02:09","3645376","0.024368","9.483","6 - 12*","28.4","22.8","7.7","4.334"
"424482 2008DG5","2025-06-05 23:57","3492804","0.023348","9.086","300 - 700*","19.6","14.2","6.2","-0.205"
"2020LQ","2025-06-06 02:42","6725713","0.044959","17.497","26 - 60*","25.0","20.0","11.7","2.922"
"2018LE4","2025-06-06 23:07","4565279","0.030517","11.876","50 - 100*","23.8","18.3","13.3","1.812"
"2007XB23","2025-06-07 20:26","5614032","0.037527","14.605","11 - 24*","27.0","21.6","4.5","3.421"
"2017XZ61","2025-06-08 01:34","6328570","0.042304","16.464","28 - 60*","24.9","21.9","17.1","2.853"
"2014LL26","2025-06-08 06:45","3146370","0.021032","8.185","22 - 50*","25.4","18.8","5.2","2.004"
"2022KO3","2025-06-09 02:22","5040849","0.033696","13.114","7 - 15*","28.0","27.2","8.9","4.431"
"2022KQ5","2025-06-12 16:15","5199581","0.034757","13.527","4 - 9*","29.1","28.0","5.1","4.720"
"2008XB2","2025-06-14 10:39","759925","0.005080","1.977","25 - 60*","25.1","16.0","11.2","1.063"
"2023XO15","2025-06-15 01:08","6815718","0.045560","17.731","19 - 40*","25.7","24.6","3.4","2.595"
"2000LF3","2025-06-17 06:11","6395925","0.042754","16.639","130 - 300*","21.5","18.8","14.6","1.275"
"2023XU2","2025-06-18 13:48","4561401","0.030491","11.866","24 - 50*","25.2","20.2","15.4","2.772"
"2003AY2","2025-06-22 04:08","5429727","0.036295","14.125","300 - 700*","19.6","14.9","15.9","0.618"
"2018EB4","2025-06-24 23:13","3948398","0.026393","10.272","22 - 50*","25.4","20.4","13.6","2.765"
"2014DH","2025-06-28 00:24","6900778","0.046129","17.952","13 - 29*","26.6","23.5","12.1","3.950"
"2016MA","2025-06-28 00:32","6171600","0.041255","16.055","9 - 20*","27.4","25.8","7.8","4.144"
"2008CM74","2025-06-28 10:36","2171995","0.014519","5.650","6 - 13*","28.3","21.9","4.4","3.429"
"2008NA","2025-06-28 19:24","4287464","0.028660","11.154","50 - 110*","23.7","18.4","10.1","1.614"
"2011CZ3","2025-07-01 21:53","4090321","0.027342","10.641","14 - 30*","26.3","21.5","13.6","3.363"
"2018MX4","2025-07-02 06:05","1059439","0.007082","2.756","11 - 25*","26.9","16.3","7.8","2.310"
"2011AL37","2025-07-06 03:35","5790494","0.038707","15.064","40 - 80*","24.3","20.3","13.6","2.287"
"2019JM","2025-07-09 08:56","6384258","0.042676","16.608","11 - 25*","26.9","23.9","6.9","3.778"
"2019NW5","2025-07-09 20:25","5822285","0.038920","15.146","50 - 110*","23.6","18.7","16.5","1.994"
"2005VO5","2025-07-11 04:45","6085487","0.040679","15.831","290 - 700*","19.8","15.0","14.4","0.739"
"2022YS5","2025-07-17 04:58","6678072","0.044640","17.373","30 - 70*","24.8","22.6","6.1","2.336"
"2018BY6","2025-07-19 07:16","5258536","0.035151","13.680","50 - 120*","23.5","19.4","7.4","1.481"
"2019CO1","2025-08-08 20:18","6976903","0.046638","18.150","50 - 100*","23.8","20.6","10.6","2.091"
"2022QB1","2025-08-11 12:07","3229621","0.021589","8.402","4 - 10*","28.9","22.3","3.8","3.995"
"2020DT1","2025-08-12 05:01","3510292","0.023465","9.132","40 - 90*","24.1","19.9","9.4","1.631"
"2021PJ1","2025-08-15 04:42","1680087","0.011231","4.371","18 - 40*","25.8","18.7","9.3","2.103"
"2017QP1","2025-08-15 08:31","1436165","0.009600","3.736","40 - 80*","24.3","17.1","24.0","1.221"
"2020PW","2025-08-17 08:27","4891426","0.032697","12.725","19 - 40*","25.7","22.1","12.6","3.085"
"1997QK1","2025-08-20 10:24","3011697","0.020132","7.835","300","20.3","16.4","9.8","0.123"
"2022QD3","2025-08-21 08:16","5740539","0.038373","14.934","26 - 60*","25.1","19.3","6.9","2.509"
"2023PX","2025-08-22 17:16","957595","0.006401","2.491","20 - 50*","25.6","17.1","8.4","1.420"
"2019QQ6","2025-08-24 20:21","3550750","0.023735","9.237","25 - 60*","25.2","18.5","17.2","2.565"
"2020TS1","2025-08-29 17:12","6805527","0.045492","17.704","4 - 9*","29.0","24.3","3.3","4.588"
"2017RK15","2025-08-29 17:48","6036604","0.040352","15.704","19 - 40*","25.7","22.6","13.2","3.320"
"1998SH2","2025-08-30 13:23","3108352","0.020778","8.086","300","20.8","14.9","17.3","0.522"
"2020RE4","2025-09-07 01:31","5577674","0.037284","14.510","7 - 16*","27.8","23.8","16.7","4.677"
"2019JG1","2025-09-09 14:53","7214637","0.048227","18.769","13 - 30*","26.5","22.8","7.9","3.730"
"2009FF","2025-09-11 17:30","2613190","0.017468","6.798","120 - 260*","21.8","15.5","12.9","0.543"
"2019JO5","2025-09-12 04:52","3751272","0.025076","9.759","50 - 110*","23.6","18.4","28.7","1.714"
"2015SA","2025-09-13 02:54","3902148","0.026084","10.151","24 - 50*","25.3","20.8","9.0","2.466"
"2022SS2","2025-09-13 14:21","914871","0.006116","2.380","10 - 22*","27.1","17.5","7.2","2.273"
"2007EH26","2025-09-13 15:14","2910072","0.019453","7.570","40 - 80*","24.3","18.2","19.5","1.842"
"2022SW12","2025-09-23 00:46","5780170","0.038638","15.037","160 - 400*","21.1","15.5","17.6","1.150"
"2021RN16","2025-09-23 20:32","3772447","0.025217","9.814","6 - 13*","28.4","23.8","8.8","4.428"
"2018QT1","2025-09-23 21:09","4989120","0.033350","12.979","120","22.2","18.6","12.7","1.219"
"152664 1998FW4","2025-09-29 18:58","3852715","0.025754","10.023","340","19.7","14.0","18.6","0.391"
"2012UV9","2025-09-30 10:57","4565453","0.030518","11.877","70 - 150*","23.1","21.3","8.9","1.290"
"2017HH1","2025-10-01 03:03","7352935","0.049151","19.128","20 - 50*","25.6","22.2","17.6","3.488"
"2014GM35","2025-10-01 08:59","824615","0.005512","2.145","11 - 25*","26.8","17.9","23.9","2.448"
"2020GE1","2025-10-02 21:36","5256692","0.035139","13.675","10 - 23*","27.0","27.9","4.7","3.448"
"2021TR1","2025-10-03 18:31","5978833","0.039966","15.554","27 - 60*","25.0","19.8","13.4","2.806"
"2017DH16","2025-10-03 20:44","3963092","0.026492","10.310","10 - 22*","27.2","22.2","9.7","3.728"
