"Peak Brightness Date/Time (UT)","Latitude (deg.)","Longitude (deg.)","Altitude (km)","Velocity (km/s)","vx","vy","vz","Total Radiated Energy (J)","Calculated Total Impact Energy (kt)"
"2018-06-02 16:44:12","21.2S","23.3E","28.7","16.9","0.9","-16.4","3.9","37.5e10","0.98"
"2018-05-12 03:26:46","6.5S","173.7E","34","","","","","19.3e10","0.54"
"2018-05-08 02:27:13","32N","60.7W","","","","","","7.3e10","0.23"
"2018-05-03 07:23:59","46.9N","7.5W","39","11.5","1.3","-2.1","-11.2","3.8e10","0.13"
"2018-04-30 13:17:57","45.5S","1.4W","34","13.1","8.7","-9.5","2.5","3.0e10","0.1"
"2018-04-21 12:06:04","59.0S","45.8E","28.2","14.6","7.1","-4.6","11.9","3.6e10","0.12"
"2018-04-19 14:02:27","7.5N","3.6E","30","20.9","-9.1","-2.5","18.6","7.2e10","0.23"
"2018-04-19 13:39:38","22.2S","72.6E","31.5","10.9","-5.9","-9.1","1.4","51.2e10","1.3"
"2018-04-07 03:05:09","72.4N","78.7W","31.5","","","","","8.6e10","0.27"
"2018-02-21 01:28:03","13.5S","37.1W","31.5","13.1","-0.9","13.1","-0.4","7.1e10","0.22"
"2018-02-15 13:38:22","43.8S","1.1W","50.7","","","","","2.7e10","0.095"
"2018-02-12 02:15:19","15.9S","58.9W","","","","","","3.9e10","0.13"
"2018-02-08 22:21:41","42.9N","179.7E","43.5","","","","","25.9e10","0.7"
"2018-02-01 12:21:36","19.4S","104.3E","37.0","16.5","8.1","-8.4","-11.7","19.0e10","0.53"
"2018-01-22 22:06:30","14.0N","17.4W","","","","","","3.2e10","0.11"
"2018-01-15 02:18:38","52.0S","57.2E","43.6","23.7","18.6","-12.1","8.4","19.9e10","0.56"
"2018-01-06 21:24:22","55.8N","52.5E","26.0","21.0","0.8","2.2","-20.9","2.8e10","0.098"
"2018-01-06 18:24:28","39.5S","12.8E","26.0","","","","","3.6e10","0.12"
"2017-12-31 09:36:10","63.5S","101.3W","64.5","","","","","4.4e10","0.15"
"2017-12-29 12:47:31","14.6N","49.5W","38.0","","","","","11.0e10","0.33"
"2017-12-28 17:45:44","","","","","","","","11.4e10","0.34"
"2017-12-15 13:14:37","60.2N","170.0E","20.0","31.4","27.8","-4.7","-13.9","311.4e10","6.4"
"2017-11-19 04:17:32","24.2S","135.0E","33.3","11.4","6.7","-3.4","8.6","2.8e10","0.098"
"2017-10-26 22:05:35","21.3S","177.6E","42.5","","","","","55.8e10","1.4"
"2017-10-23 15:31:23","28.8N","44.6E","35.4","16.7","-5.7","-10.7","-11.5","2.4e10","0.086"
"2017-10-15 04:33:16","65.2S","128.2E","24.1","15.9","9.5","-8.3","9.7","3.3e10","0.11"
"2017-10-09 12:51:48","18.3S","64.1W","","","","","","3.0e10","0.1"
"2017-10-04 12:07:05","28.1N","99.4E","37.0","14.6","-8.5","-9.0","7.8","19.2e10","0.54"
"2017-09-05 05:11:27","49.3N","116.9W","36.0","14.7","12.7","-6.1","-4.2","3.8e10","0.13"
"2017-07-31 22:01:35","24.7N","118.5W","","","","","","5.8e10","0.19"
"2017-07-23 06:12:38","6.6S","69.7W","38.0","17.2","-0.4","8.7","-14.8","3.5e10","0.12"
